Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                 812",-1.061204515782e-01,-1.894712088567e-01,-8.449900965337e-02,-1.049721992033e-01,1.023659477496e-02
"                 813",-1.064106525224e-01,-1.894052849245e-01,-8.442561597741e-02,-1.049796689471e-01,1.027702648484e-02
"                 814",-1.069977169631e-01,-1.892793870779e-01,-8.426090337867e-02,-1.050184836992e-01,1.037879016026e-02
"                 815",-1.075718409569e-01,-1.891382650589e-01,-8.406793303851e-02,-1.050703320204e-01,1.050119949096e-02
"                 816",-1.082310203345e-01,-1.890194859970e-01,-8.386488616944e-02,-1.051545998276e-01,1.064485682906e-02
"                 817",-1.090770952657e-01,-1.889483876512e-01,-8.363716543074e-02,-1.053112222205e-01,1.083702839487e-02
"                 818",-1.100122705853e-01,-1.888728003659e-01,-8.338979743977e-02,-1.054830029261e-01,1.104660274318e-02
"                 819",-1.106694166115e-01,-1.887483065467e-01,-8.314837550729e-02,-1.055999310394e-01,1.122577776608e-02
"                 820",-1.110788319156e-01,-1.885751333231e-01,-8.292990309003e-02,-1.056452302331e-01,1.135766357154e-02
"                 821",-1.110829391668e-01,-1.883426187089e-01,-8.273727676980e-02,-1.056053419391e-01,1.143403258464e-02
"                 822",-1.113553868367e-01,-1.881950233014e-01,-8.255923503156e-02,-1.056357882698e-01,1.153827661913e-02
"                 823",-1.116338414048e-01,-1.881104763124e-01,-8.241034618268e-02,-1.057001301298e-01,1.164489197354e-02
"                 824",-1.117225239791e-01,-1.880534989271e-01,-8.231917214696e-02,-1.057343267801e-01,1.170757731657e-02
"                 825",-1.115058945693e-01,-1.879909273403e-01,-8.227810365683e-02,-1.057128236835e-01,1.171736001332e-02
"                 826",-1.112551817271e-01,-1.878922820587e-01,-8.223939224473e-02,-1.056528898140e-01,1.170674878462e-02
"                 827",-1.109267958421e-01,-1.877908088927e-01,-8.221811941311e-02,-1.055726894796e-01,1.167728503325e-02
"                 828",-1.104958359014e-01,-1.877148179499e-01,-8.224955531246e-02,-1.054652626375e-01,1.160785366251e-02
"                 829",-1.095452867564e-01,-1.876176316630e-01,-8.235179495775e-02,-1.052658367052e-01,1.145702087375e-02
"                 830",-1.080858926592e-01,-1.874430251863e-01,-8.249555473233e-02,-1.049474704539e-01,1.122595786080e-02
"                 831",-1.062350003881e-01,-1.871956535211e-01,-8.265920425815e-02,-1.045364492630e-01,1.093862250241e-02
"                 832",-1.045867641363e-01,-1.869665743732e-01,-8.282017482743e-02,-1.041463995458e-01,1.066311235918e-02
"                 833",-1.035783895878e-01,-1.868834971931e-01,-8.295346914612e-02,-1.039300280469e-01,1.048827945041e-02
"                 834",-1.030522560017e-01,-1.868875761435e-01,-8.306551703478e-02,-1.038220591087e-01,1.037827103698e-02
"                 835",-1.028705246348e-01,-1.869714075581e-01,-8.316505577542e-02,-1.038063517827e-01,1.032064800365e-02
"                 836",-1.025851843773e-01,-1.870674367604e-01,-8.330909555499e-02,-1.037583412054e-01,1.022462282521e-02
"                 837",-1.023316366785e-01,-1.871590297576e-01,-8.344222053088e-02,-1.037168092267e-01,1.013729434792e-02
"                 838",-1.024441159002e-01,-1.872559734165e-01,-8.351743331228e-02,-1.037385401042e-01,1.011055339597e-02
"                 839",-1.028162174184e-01,-1.874017069707e-01,-8.355799591965e-02,-1.038437110510e-01,1.014285756568e-02
"                 840",-1.034092469403e-01,-1.875795404813e-01,-8.357740978307e-02,-1.040021306983e-01,1.021236045759e-02
"                 841",-1.040063236749e-01,-1.877352241203e-01,-8.357125214155e-02,-1.041639719788e-01,1.029635991862e-02
"                 842",-1.046005010113e-01,-1.879933755111e-01,-8.362627495342e-02,-1.043671005577e-01,1.037041280214e-02
"                 843",-1.051386160780e-01,-1.883106389973e-01,-8.370273641539e-02,-1.046079025819e-01,1.045258308328e-02
"                 844",-1.057247798428e-01,-1.885919175209e-01,-8.373951958279e-02,-1.048523979382e-01,1.055643917768e-02
"                 845",-1.063193612066e-01,-1.887770240012e-01,-8.369297839147e-02,-1.050840456097e-01,1.069553360912e-02
"                 846",-1.069804982800e-01,-1.888902428378e-01,-8.358281381471e-02,-1.053074290231e-01,1.086230760421e-02
"                 847",-1.075884080828e-01,-1.889932834529e-01,-8.345942479682e-02,-1.055338586561e-01,1.103721692962e-02
"                 848",-1.080193261362e-01,-1.890928056481e-01,-8.337096204507e-02,-1.057218436030e-01,1.117544077899e-02
"                 849",-1.083359086025e-01,-1.892457368853e-01,-8.333048169191e-02,-1.059152551934e-01,1.129238675074e-02
"                 850",-1.084256289801e-01,-1.893397470251e-01,-8.331228138356e-02,-1.060274656416e-01,1.135759212900e-02
"                 851",-1.082932845857e-01,-1.893330076609e-01,-8.327111093211e-02,-1.060618967288e-01,1.139539289835e-02
"                 852",-1.081050035321e-01,-1.892645350438e-01,-8.321668183284e-02,-1.060478532110e-01,1.141558568908e-02
"                 853",-1.079181310064e-01,-1.891650184380e-01,-8.314504027029e-02,-1.060199781677e-01,1.143746894869e-02
"                 854",-1.077887204086e-01,-1.890401067318e-01,-8.307399933666e-02,-1.059661073951e-01,1.144605402922e-02
"                 855",-1.075074086366e-01,-1.889724283595e-01,-8.307075316620e-02,-1.059016751933e-01,1.141546101353e-02
"                 856",-1.069699729681e-01,-1.888994353109e-01,-8.313273100428e-02,-1.057667043066e-01,1.131698665118e-02
"                 857",-1.060185137168e-01,-1.888295674105e-01,-8.326540277222e-02,-1.055641646383e-01,1.114938093303e-02
"                 858",-1.047852123240e-01,-1.886923815352e-01,-8.342526961183e-02,-1.052671119233e-01,1.092092115575e-02
"                 859",-1.037124160245e-01,-1.885194865806e-01,-8.354161825489e-02,-1.049778683257e-01,1.071812503543e-02
"                 860",-1.030364393319e-01,-1.883507685973e-01,-8.360854638395e-02,-1.047422222133e-01,1.056683791469e-02
"                 861",-1.027456505889e-01,-1.882284747994e-01,-8.364073841307e-02,-1.045877363863e-01,1.047349898661e-02
"                 862",-1.026267390576e-01,-1.881553107202e-01,-8.368809822481e-02,-1.044672124954e-01,1.038955713530e-02
"                 863",-1.024980779814e-01,-1.881168534446e-01,-8.375514596940e-02,-1.043617074752e-01,1.030328075290e-02
"                 864",-1.025356231812e-01,-1.880884542523e-01,-8.380800728802e-02,-1.042804469643e-01,1.023621983814e-02
