Time (s),Ux,Uy,Uz,k,omega,p
419,0.00155099667834,0.000382481421401,0.00033619949843,0.00167783801139,7.48467713977e-06,0.0544043380031
420,0.00154349026652,0.000380514069465,0.000336616911442,0.00167809938046,7.49373173482e-06,0.054026305757
421,0.00155497418137,0.000382956844157,0.000339440677524,0.00167986299843,7.50316254847e-06,0.0537378582221
422,0.00153125162575,0.000377452123749,0.000336746560674,0.0016794250725,7.51221817551e-06,0.0536621436314
423,0.00153571996711,0.000378048418607,0.000337444854427,0.0016808588971,7.52142409144e-06,0.0531897533239
424,0.00150513262337,0.00037166138624,0.000336031785728,0.00168095828178,7.53074742494e-06,0.0529534966184
425,0.00151484808396,0.00037412869447,0.000339381359414,0.00168193568755,7.54012266102e-06,0.0528662997285
426,0.00149884800272,0.000369792099801,0.000336269684628,0.00168215249501,7.54938443225e-06,0.0523416251777
427,0.00152239684657,0.000373058077964,0.0003393957196,0.0016832585953,7.55831212318e-06,0.0523329326032
428,0.00148726964286,0.000368488892049,0.000334316585339,0.0016837372481,7.56717083465e-06,0.0523664908581
429,0.00148751801639,0.000367384611224,0.00033397831907,0.00168432640759,7.57540878142e-06,0.0527444050827
430,0.00146878125159,0.00036335686171,0.000329862423894,0.00168480160196,7.58313817292e-06,0.0525385316306
431,0.00148146369767,0.000364525357174,0.000330912301791,0.00168522551064,7.59031321703e-06,0.0516620490757
432,0.00146211358551,0.000358896172129,0.000325337626272,0.00168559386857,7.59665633002e-06,0.0513854547135
433,0.0014692045365,0.000360811620363,0.000327425330442,0.00168604709595,7.60316870491e-06,0.0514442549106
434,0.00144170732303,0.000355624147064,0.000322453466769,0.00168625706663,7.60903900978e-06,0.0515374388758
435,0.00145397986699,0.000355885735079,0.000322829380818,0.00168648849908,7.61452222216e-06,0.0515280380603
436,0.00144667242691,0.000352460752,0.000321174099131,0.00168642000382,7.61927952729e-06,0.0513837086173
437,0.00147656986956,0.000356829644889,0.000324804701756,0.00168871912824,7.62319718507e-06,0.0507189182043
438,0.00146195329386,0.000351880733373,0.000322604725449,0.00168678877168,7.62596664068e-06,0.0500447532826
439,0.00147398272173,0.000354101720429,0.000326764554925,0.00168734135913,7.63045575313e-06,0.0499596371878
440,0.00144743181298,0.000348266984038,0.000322003814995,0.00168759596635,7.63362780274e-06,0.0497232938696
441,0.00149922503696,0.000353462190125,0.000333756525867,0.00168955109116,7.63760247061e-06,0.0495649744136
442,0.00148759084956,0.000346720545592,0.000327244536804,0.00168836290371,7.64143781948e-06,0.0501423677138
443,0.00148181710292,0.000342769064721,0.000324650429327,0.00168792729443,7.64635720223e-06,0.04938130799
444,0.00145476233722,0.000339637366995,0.000322397302567,0.00168761069808,7.65112251308e-06,0.04949351141
445,0.00146656637475,0.00034283306954,0.000326663432031,0.00168781236925,7.65665334289e-06,0.0496284043327
446,0.0014649051603,0.000342603439991,0.000329681340344,0.0016876136175,7.66168963824e-06,0.0500032590212
447,0.0014815054036,0.000343665445117,0.000331820475413,0.0016880737467,7.66869928328e-06,0.0510506358717
448,0.00147258282647,0.000343523785753,0.000333388734492,0.00168779065226,7.67413908497e-06,0.0513740262836
